company_id,action_taken,roi_3yr_pct,best_action,certified_by,certified_date
C001,NEW_PRODUCT,-0.2,PAY_DEBT,"M. Alvarez, CFA",2018-12-15
C002,MA,5.4,MA,"D. Chen, CPA",2023-12-15
C003,NEW_PRODUCT,25.7,NEW_PRODUCT,"R. Okafor, CFA",2020-12-15
C004,NEW_PRODUCT,18.6,NEW_PRODUCT,"M. Alvarez, CFA",2021-12-15
C005,MA,20.9,MA,"D. Chen, CPA",2025-12-15
C006,NEW_PRODUCT,12.9,NEW_PRODUCT,"R. Okafor, CFA",2021-12-15
C007,PAY_DEBT,11.8,NEW_PRODUCT,"M. Alvarez, CFA",2021-12-15
C008,NEW_PRODUCT,24.2,NEW_PRODUCT,"D. Chen, CPA",2021-12-15
C009,NEW_PRODUCT,23.0,NEW_PRODUCT,"R. Okafor, CFA",2024-12-15
C010,MA,20.4,MA,"M. Alvarez, CFA",2025-12-15
C011,NEW_PRODUCT,14.7,NEW_PRODUCT,"D. Chen, CPA",2018-12-15
C012,MA,18.3,MA,"R. Okafor, CFA",2025-12-15
C013,MA,21.7,MA,"M. Alvarez, CFA",2020-12-15
C014,PAY_DEBT,26.4,PAY_DEBT,"D. Chen, CPA",2024-12-15
C015,NEW_PRODUCT,15.3,NEW_PRODUCT,"R. Okafor, CFA",2021-12-15
C016,NEW_PRODUCT,18.1,NEW_PRODUCT,"M. Alvarez, CFA",2018-12-15
C017,NEW_PRODUCT,9.7,MA,"D. Chen, CPA",2021-12-15
C018,PAY_DEBT,5.8,PAY_DEBT,"R. Okafor, CFA",2022-12-15
C019,PAY_DEBT,5.3,NEW_PRODUCT,"M. Alvarez, CFA",2019-12-15
C020,PAY_DEBT,10.7,PAY_DEBT,"D. Chen, CPA",2021-12-15
C021,PAY_DEBT,17.7,PAY_DEBT,"R. Okafor, CFA",2021-12-15
C022,PAY_DEBT,27.1,PAY_DEBT,"M. Alvarez, CFA",2025-12-15
C023,PAY_DEBT,5.7,NEW_PRODUCT,"D. Chen, CPA",2021-12-15
C024,PAY_DEBT,24.5,PAY_DEBT,"R. Okafor, CFA",2018-12-15
C025,PAY_DEBT,7.3,MA,"M. Alvarez, CFA",2025-12-15
C026,NEW_PRODUCT,27.6,NEW_PRODUCT,"D. Chen, CPA",2022-12-15
C027,PAY_DEBT,12.5,PAY_DEBT,"R. Okafor, CFA",2020-12-15
C028,PAY_DEBT,20.1,PAY_DEBT,"M. Alvarez, CFA",2024-12-15
C029,MA,27.0,MA,"D. Chen, CPA",2018-12-15
C030,NEW_PRODUCT,23.0,NEW_PRODUCT,"R. Okafor, CFA",2025-12-15
C031,PAY_DEBT,11.3,PAY_DEBT,"M. Alvarez, CFA",2021-12-15
C032,NEW_PRODUCT,19.2,NEW_PRODUCT,"D. Chen, CPA",2019-12-15
C033,PAY_DEBT,22.5,PAY_DEBT,"R. Okafor, CFA",2021-12-15
C034,PAY_DEBT,21.8,PAY_DEBT,"M. Alvarez, CFA",2020-12-15
C035,PAY_DEBT,2.1,NEW_PRODUCT,"D. Chen, CPA",2024-12-15
C036,MA,18.2,MA,"R. Okafor, CFA",2025-12-15
C037,PAY_DEBT,15.9,PAY_DEBT,"M. Alvarez, CFA",2025-12-15
C038,PAY_DEBT,18.0,PAY_DEBT,"D. Chen, CPA",2020-12-15
C039,NEW_PRODUCT,14.1,NEW_PRODUCT,"R. Okafor, CFA",2024-12-15
C040,MA,24.7,MA,"M. Alvarez, CFA",2025-12-15
C041,PAY_DEBT,10.4,MA,"D. Chen, CPA",2018-12-15
C042,NEW_PRODUCT,18.4,NEW_PRODUCT,"R. Okafor, CFA",2021-12-15
C043,NEW_PRODUCT,25.5,NEW_PRODUCT,"M. Alvarez, CFA",2025-12-15
C044,MA,19.9,MA,"D. Chen, CPA",2019-12-15
C045,NEW_PRODUCT,11.0,NEW_PRODUCT,"R. Okafor, CFA",2024-12-15
C046,PAY_DEBT,22.0,PAY_DEBT,"M. Alvarez, CFA",2020-12-15
C047,PAY_DEBT,9.8,PAY_DEBT,"D. Chen, CPA",2024-12-15
C048,NEW_PRODUCT,23.1,NEW_PRODUCT,"R. Okafor, CFA",2019-12-15
C049,MA,14.7,MA,"M. Alvarez, CFA",2020-12-15
C050,MA,5.0,PAY_DEBT,"D. Chen, CPA",2020-12-15
C051,MA,19.7,MA,"R. Okafor, CFA",2018-12-15
C052,NEW_PRODUCT,22.4,NEW_PRODUCT,"M. Alvarez, CFA",2022-12-15
C053,PAY_DEBT,1.5,NEW_PRODUCT,"D. Chen, CPA",2022-12-15
C054,NEW_PRODUCT,19.6,NEW_PRODUCT,"R. Okafor, CFA",2024-12-15
C055,PAY_DEBT,22.1,PAY_DEBT,"M. Alvarez, CFA",2021-12-15
C056,PAY_DEBT,28.7,PAY_DEBT,"D. Chen, CPA",2024-12-15
C057,MA,12.4,MA,"R. Okafor, CFA",2023-12-15
C058,MA,9.5,PAY_DEBT,"M. Alvarez, CFA",2023-12-15
C059,PAY_DEBT,0.7,NEW_PRODUCT,"D. Chen, CPA",2020-12-15
C060,NEW_PRODUCT,13.3,NEW_PRODUCT,"R. Okafor, CFA",2018-12-15
C061,PAY_DEBT,22.5,PAY_DEBT,"M. Alvarez, CFA",2022-12-15
C062,NEW_PRODUCT,19.9,NEW_PRODUCT,"D. Chen, CPA",2019-12-15
C063,PAY_DEBT,17.9,PAY_DEBT,"R. Okafor, CFA",2023-12-15
C064,PAY_DEBT,7.9,MA,"M. Alvarez, CFA",2023-12-15
C065,NEW_PRODUCT,21.9,NEW_PRODUCT,"D. Chen, CPA",2020-12-15
C066,NEW_PRODUCT,19.8,NEW_PRODUCT,"R. Okafor, CFA",2023-12-15
C067,MA,9.6,MA,"M. Alvarez, CFA",2024-12-15
C068,NEW_PRODUCT,20.2,NEW_PRODUCT,"D. Chen, CPA",2018-12-15
C069,MA,23.1,MA,"R. Okafor, CFA",2024-12-15
C070,MA,12.5,NEW_PRODUCT,"M. Alvarez, CFA",2024-12-15
C071,MA,21.6,MA,"D. Chen, CPA",2019-12-15
C072,PAY_DEBT,19.1,PAY_DEBT,"R. Okafor, CFA",2023-12-15
C073,PAY_DEBT,18.4,PAY_DEBT,"M. Alvarez, CFA",2019-12-15
C074,NEW_PRODUCT,20.5,NEW_PRODUCT,"D. Chen, CPA",2023-12-15
C075,PAY_DEBT,16.4,PAY_DEBT,"R. Okafor, CFA",2023-12-15
C076,PAY_DEBT,20.2,PAY_DEBT,"M. Alvarez, CFA",2019-12-15
C077,MA,13.4,MA,"D. Chen, CPA",2021-12-15
C078,NEW_PRODUCT,4.1,MA,"R. Okafor, CFA",2020-12-15
C079,MA,26.4,MA,"M. Alvarez, CFA",2025-12-15
C080,NEW_PRODUCT,34.1,NEW_PRODUCT,"D. Chen, CPA",2019-12-15
C081,NEW_PRODUCT,18.2,NEW_PRODUCT,"R. Okafor, CFA",2023-12-15
C082,NEW_PRODUCT,6.6,MA,"M. Alvarez, CFA",2021-12-15
C083,NEW_PRODUCT,6.0,PAY_DEBT,"D. Chen, CPA",2021-12-15
C084,PAY_DEBT,21.6,PAY_DEBT,"R. Okafor, CFA",2024-12-15
C085,PAY_DEBT,3.6,MA,"M. Alvarez, CFA",2025-12-15
C086,PAY_DEBT,3.0,MA,"D. Chen, CPA",2018-12-15
C087,PAY_DEBT,23.2,PAY_DEBT,"R. Okafor, CFA",2025-12-15
C088,PAY_DEBT,21.6,PAY_DEBT,"M. Alvarez, CFA",2025-12-15
C089,PAY_DEBT,18.0,PAY_DEBT,"D. Chen, CPA",2018-12-15
C090,PAY_DEBT,5.8,MA,"R. Okafor, CFA",2022-12-15
C091,PAY_DEBT,17.2,PAY_DEBT,"M. Alvarez, CFA",2023-12-15
C092,PAY_DEBT,20.7,PAY_DEBT,"D. Chen, CPA",2018-12-15
C093,PAY_DEBT,17.1,PAY_DEBT,"R. Okafor, CFA",2023-12-15
C094,PAY_DEBT,21.0,PAY_DEBT,"M. Alvarez, CFA",2022-12-15
C095,PAY_DEBT,12.9,PAY_DEBT,"D. Chen, CPA",2020-12-15
C096,MA,22.3,MA,"R. Okafor, CFA",2024-12-15
C097,PAY_DEBT,9.8,MA,"M. Alvarez, CFA",2020-12-15
C098,NEW_PRODUCT,24.6,NEW_PRODUCT,"D. Chen, CPA",2020-12-15
C099,MA,20.0,MA,"R. Okafor, CFA",2025-12-15
C100,NEW_PRODUCT,16.3,NEW_PRODUCT,"M. Alvarez, CFA",2019-12-15
C101,PAY_DEBT,17.5,PAY_DEBT,"D. Chen, CPA",2024-12-15
C102,NEW_PRODUCT,6.9,PAY_DEBT,"R. Okafor, CFA",2025-12-15
C103,MA,18.5,MA,"M. Alvarez, CFA",2018-12-15
C104,PAY_DEBT,10.1,PAY_DEBT,"D. Chen, CPA",2021-12-15
C105,MA,10.2,PAY_DEBT,"R. Okafor, CFA",2022-12-15
C106,NEW_PRODUCT,11.1,NEW_PRODUCT,"M. Alvarez, CFA",2019-12-15
C107,MA,22.1,MA,"D. Chen, CPA",2022-12-15
C108,MA,21.5,MA,"R. Okafor, CFA",2018-12-15
C109,PAY_DEBT,19.3,PAY_DEBT,"M. Alvarez, CFA",2018-12-15
C110,NEW_PRODUCT,13.5,MA,"D. Chen, CPA",2019-12-15
C111,NEW_PRODUCT,5.6,NEW_PRODUCT,"R. Okafor, CFA",2024-12-15
C112,PAY_DEBT,-0.6,MA,"M. Alvarez, CFA",2018-12-15
C113,MA,10.5,MA,"D. Chen, CPA",2021-12-15
C114,NEW_PRODUCT,20.7,NEW_PRODUCT,"R. Okafor, CFA",2025-12-15
C115,MA,18.4,MA,"M. Alvarez, CFA",2019-12-15
C116,PAY_DEBT,-0.3,NEW_PRODUCT,"D. Chen, CPA",2018-12-15
C117,PAY_DEBT,14.5,PAY_DEBT,"R. Okafor, CFA",2025-12-15
C118,NEW_PRODUCT,19.5,NEW_PRODUCT,"M. Alvarez, CFA",2022-12-15
C119,PAY_DEBT,5.9,NEW_PRODUCT,"D. Chen, CPA",2021-12-15
C120,PAY_DEBT,19.3,PAY_DEBT,"R. Okafor, CFA",2023-12-15
C121,NEW_PRODUCT,19.8,NEW_PRODUCT,"M. Alvarez, CFA",2023-12-15
C122,NEW_PRODUCT,17.1,NEW_PRODUCT,"D. Chen, CPA",2020-12-15
C123,PAY_DEBT,24.8,PAY_DEBT,"R. Okafor, CFA",2021-12-15
C124,MA,8.6,MA,"M. Alvarez, CFA",2023-12-15
C125,PAY_DEBT,4.4,MA,"D. Chen, CPA",2018-12-15
C126,NEW_PRODUCT,4.3,MA,"R. Okafor, CFA",2025-12-15
C127,NEW_PRODUCT,18.0,NEW_PRODUCT,"M. Alvarez, CFA",2024-12-15
C128,MA,10.7,NEW_PRODUCT,"D. Chen, CPA",2018-12-15
C129,NEW_PRODUCT,22.0,NEW_PRODUCT,"R. Okafor, CFA",2024-12-15
C130,PAY_DEBT,12.0,PAY_DEBT,"M. Alvarez, CFA",2020-12-15
C131,NEW_PRODUCT,19.4,NEW_PRODUCT,"D. Chen, CPA",2022-12-15
C132,MA,23.2,MA,"R. Okafor, CFA",2023-12-15
C133,MA,11.1,MA,"M. Alvarez, CFA",2025-12-15
C134,MA,21.7,MA,"D. Chen, CPA",2023-12-15
C135,MA,23.5,MA,"R. Okafor, CFA",2018-12-15
C136,PAY_DEBT,16.6,PAY_DEBT,"M. Alvarez, CFA",2022-12-15
C137,MA,24.5,MA,"D. Chen, CPA",2025-12-15
C138,NEW_PRODUCT,10.7,NEW_PRODUCT,"R. Okafor, CFA",2021-12-15
C139,MA,0.2,PAY_DEBT,"M. Alvarez, CFA",2022-12-15
C140,PAY_DEBT,18.3,PAY_DEBT,"D. Chen, CPA",2019-12-15
C141,MA,17.0,MA,"R. Okafor, CFA",2021-12-15
C142,NEW_PRODUCT,11.7,MA,"M. Alvarez, CFA",2021-12-15
C143,PAY_DEBT,14.3,PAY_DEBT,"D. Chen, CPA",2020-12-15
C144,NEW_PRODUCT,13.3,NEW_PRODUCT,"R. Okafor, CFA",2021-12-15
C145,MA,19.9,MA,"M. Alvarez, CFA",2024-12-15
C146,MA,16.0,MA,"D. Chen, CPA",2023-12-15
