company_id,company_name,sector
C001,Pinnacle Provisions,Consumer Products
C002,Brightpath Manufacturing,Industrial Equipment
C003,Highland Clinics,Healthcare Services
C004,Harborline Medical,Healthcare Services
C005,Granite Fabrication,Industrial Equipment
C006,Lakeshore Software,Software & SaaS
C007,Redrock Cloudworks,Software & SaaS
C008,Northgate Care Group,Healthcare Services
C009,Summit Diagnostics,Healthcare Services
C010,Clearwater Partners,Business Services
C011,Highland Supply,Specialty Retail
C012,Silverbirch Partners,Business Services
C013,Longview Retail,Specialty Retail
C014,Maplecrest Industrial,Industrial Equipment
C015,Stonebridge Analytics,Software & SaaS
C016,Summit Outsourcing,Business Services
C017,Oakfield Trading Co,Specialty Retail
C018,Stonebridge Controls,Industrial Equipment
C019,Northgate Supply,Specialty Retail
C020,Seabrook Provisions,Consumer Products
C021,Kestrel Manufacturing,Industrial Equipment
C022,Copperleaf Medical,Healthcare Services
C023,Stonebridge Wellness,Healthcare Services
C024,Oakfield Beverage Co,Consumer Products
C025,Kestrel Care Group,Healthcare Services
C026,Greenfield Foods,Consumer Products
C027,Brightpath Wellness,Healthcare Services
C028,Seabrook Brands,Consumer Products
C029,Hartwell Logistics,Business Services
C030,Westwind Provisions,Consumer Products
C031,Clearwater Beverage Co,Consumer Products
C032,Northgate Software,Software & SaaS
C033,Clearwater Retail,Specialty Retail
C034,Silverbirch Retail,Specialty Retail
C035,Brightpath Systems,Software & SaaS
C036,Northgate Apparel,Consumer Products
C037,Northgate Manufacturing,Industrial Equipment
C038,Kestrel Stores,Specialty Retail
C039,Pinnacle Analytics,Software & SaaS
C040,Kestrel Tooling,Industrial Equipment
C041,Copperleaf Foods,Consumer Products
C042,Silverbirch Digital,Software & SaaS
C043,Summit Platforms,Software & SaaS
C044,Silverbirch Clinics,Healthcare Services
C045,Copperleaf Tooling,Industrial Equipment
C046,Fairhaven Digital,Software & SaaS
C047,Riverbend Manufacturing,Industrial Equipment
C048,Amberton Provisions,Consumer Products
C049,Redrock Health,Healthcare Services
C050,Harborline Fabrication,Industrial Equipment
C051,Kingsport Advisory,Business Services
C052,Foxglove Cloudworks,Software & SaaS
C053,Kestrel Clinics,Healthcare Services
C054,Cascade Analytics,Software & SaaS
C055,Riverbend Fabrication,Industrial Equipment
C056,Kingsport Mercantile,Specialty Retail
C057,Bluepine Trading Co,Specialty Retail
C058,Amberton Care Group,Healthcare Services
C059,Silverbirch Systems,Software & SaaS
C060,Bluepine Home Goods,Consumer Products
C061,Copperleaf Apparel,Consumer Products
C062,Clearwater Home Goods,Consumer Products
C063,Highland Manufacturing,Industrial Equipment
C064,Hartwell Digital,Software & SaaS
C065,Silverbirch Platforms,Software & SaaS
C066,Amberton Outsourcing,Business Services
C067,Summit Staffing,Business Services
C068,Brightpath Platforms,Software & SaaS
C069,Kingsport Logistics,Business Services
C070,Fairhaven Manufacturing,Industrial Equipment
C071,Ironwood Medical,Healthcare Services
C072,Hartwell Mercantile,Specialty Retail
C073,Maplecrest Supply,Specialty Retail
C074,Seabrook Systems,Software & SaaS
C075,Harborline Stores,Specialty Retail
C076,Northgate Controls,Industrial Equipment
C077,Clearwater Clinics,Healthcare Services
C078,Pinnacle Clinics,Healthcare Services
C079,Copperleaf Staffing,Business Services
C080,Amberton Machinery,Industrial Equipment
C081,Kestrel Systems,Software & SaaS
