company_id,fy,revenue_m,revenue_growth_pct,operating_margin_pct,ebitda_m,debt_m,cash_m,interest_rate_pct
C001,2015,68.8,9.5,14.8,13.3,66.3,6.7,6.5
C002,2020,58.5,-3.9,20.0,14.3,17.6,4.8,4.92
C003,2017,132.2,2.6,23.2,36.6,111.5,26.4,5.61
C004,2018,135.2,4.7,11.5,21.7,16.3,3.8,5.23
C005,2022,191.7,5.8,15.4,38.1,94.9,27.1,7.92
C006,2018,127.8,12.5,20.3,31.7,123.8,5.1,6.97
C007,2018,118.9,9.2,16.6,25.1,53.2,32.8,5.06
C008,2018,148.6,7.9,18.2,33.7,85.9,35.9,4.79
C009,2021,57.3,4.9,8.2,7.3,38.0,8.9,6.97
C010,2022,132.2,1.8,7.2,15.5,25.0,14.6,6.27
C011,2015,59.4,2.0,8.5,7.7,10.2,2.8,5.08
C012,2022,52.0,3.2,12.9,9.1,44.7,9.6,7.91
C013,2017,318.1,4.3,7.6,38.4,118.9,80.7,5.85
C014,2021,202.1,1.4,11.6,32.5,195.2,49.2,5.67
C015,2018,91.3,4.7,18.7,21.2,53.4,18.0,6.51
C016,2015,91.0,9.3,10.3,13.5,53.4,10.9,5.71
C017,2018,90.3,-2.2,10.6,13.6,33.0,9.1,5.42
C018,2019,216.1,7.9,13.2,38.2,148.5,22.4,5.84
C019,2016,203.7,7.3,16.3,42.3,60.4,20.5,5.52
C020,2018,96.3,9.1,14.6,18.4,95.1,23.5,7.92
C021,2018,93.4,-8.4,3.6,7.6,63.1,24.9,9.8
C022,2022,802.8,8.7,10.5,120.6,448.6,66.0,7.63
C023,2018,71.5,7.8,8.1,9.0,38.5,2.6,7.24
C024,2015,310.2,-3.5,9.9,44.7,212.0,24.0,5.3
C025,2022,402.4,0.5,10.9,62.0,201.2,98.7,6.7
C026,2019,105.4,4.0,21.7,27.6,30.1,4.0,6.59
C027,2017,114.8,8.6,7.4,13.6,122.0,23.7,9.32
C028,2021,144.0,-3.2,11.4,22.9,98.0,7.4,6.53
C029,2015,187.3,2.9,19.9,45.7,172.3,38.2,5.25
C030,2022,143.1,11.4,10.3,21.2,49.1,19.6,7.98
C031,2018,560.3,4.8,9.9,80.6,585.7,23.7,8.76
C032,2016,104.4,4.6,15.5,20.9,65.9,11.4,6.08
C033,2018,161.2,-0.2,5.7,16.5,107.8,35.1,8.02
C034,2017,159.4,-0.8,9.9,23.0,154.0,27.0,7.19
C035,2021,163.2,16.8,23.3,45.3,170.8,6.9,4.38
C036,2022,176.3,-7.6,9.2,24.2,47.3,13.2,7.75
C037,2022,40.4,-0.8,9.4,5.6,31.2,10.5,9.6
C038,2017,68.1,-2.6,6.0,7.1,24.0,3.6,5.75
C039,2021,138.1,16.7,19.0,32.4,131.7,23.8,3.99
C040,2022,48.3,-0.1,7.1,5.6,7.0,5.3,6.93
C041,2015,87.4,0.7,15.0,17.0,51.6,24.2,5.36
C042,2018,65.2,5.3,22.2,17.4,5.2,12.0,6.4
C043,2022,269.1,2.4,16.8,57.2,90.7,63.8,8.55
C044,2016,49.1,5.9,12.0,8.1,39.9,11.7,6.11
C045,2021,73.1,0.1,14.2,13.7,28.1,10.4,5.58
C046,2017,97.1,6.3,19.3,23.1,97.7,2.3,4.9
C047,2021,243.7,9.1,7.8,29.9,206.5,60.2,5.74
C048,2016,159.5,6.3,12.1,26.5,12.8,16.6,3.64
C049,2017,150.3,0.3,9.6,21.2,99.6,12.1,6.41
C050,2017,185.1,17.6,4.8,17.3,175.1,8.8,9.04
C051,2015,186.8,1.6,14.1,34.8,46.6,15.9,5.59
C052,2019,50.3,14.1,25.4,15.1,19.8,6.4,4.7
C053,2019,269.4,0.2,18.2,61.2,146.0,10.7,6.09
C054,2021,131.7,5.5,14.5,25.0,87.4,30.8,5.94
C055,2018,245.8,3.1,8.7,32.4,256.5,24.4,8.58
C056,2021,371.9,-3.4,2.0,24.2,127.8,74.2,5.22
C057,2020,65.2,-7.8,2.0,4.2,6.7,7.0,5.97
C058,2020,286.6,14.2,9.5,40.3,311.5,46.0,8.34
C059,2017,56.0,8.7,19.4,13.4,29.2,6.4,5.28
C060,2015,251.4,5.5,16.1,51.9,129.6,63.8,4.51
C061,2019,139.8,-6.7,7.1,16.2,102.6,30.8,8.0
C062,2016,89.8,1.6,17.3,19.6,49.2,3.9,3.71
C063,2020,52.1,-4.7,15.9,10.6,52.7,1.7,5.4
C064,2020,62.2,2.0,9.9,8.9,58.3,17.0,7.65
C065,2017,97.7,12.4,22.5,26.4,12.0,20.8,6.23
C066,2020,327.2,6.9,17.7,72.6,33.5,13.5,4.61
C067,2021,205.6,4.1,8.8,27.3,57.9,56.7,3.44
C068,2015,110.4,7.2,14.5,20.9,70.3,21.4,4.8
C069,2021,187.2,5.2,13.8,34.2,73.2,42.7,4.85
C070,2021,101.3,6.3,8.6,13.3,23.0,15.5,3.59
C071,2016,48.7,-0.2,12.5,8.3,11.5,10.8,4.74
C072,2020,81.9,1.5,2.0,5.3,72.6,14.2,10.76
C073,2016,123.4,-0.6,2.0,8.0,122.3,16.9,12.0
C074,2020,122.3,9.6,18.1,27.6,62.6,19.1,3.9
C075,2020,47.5,-6.8,2.0,3.1,46.0,5.1,12.0
C076,2016,59.7,-4.2,13.9,11.0,54.9,12.7,6.42
C077,2018,67.5,1.4,13.4,12.1,41.6,14.3,5.98
C078,2017,51.3,-5.8,9.5,7.2,35.5,11.1,6.92
C079,2022,237.9,4.1,10.4,35.5,61.8,42.2,8.28
C080,2016,57.2,0.4,14.3,10.8,30.0,6.3,3.57
C081,2020,389.0,3.2,18.7,90.2,136.6,91.7,5.24
C082,2018,150.6,3.3,10.6,22.8,53.1,14.8,4.52
C083,2018,80.5,8.5,8.9,10.7,48.3,9.2,7.68
C084,2021,192.9,4.1,9.4,26.8,142.7,9.1,6.15
C085,2022,281.2,4.0,14.0,52.0,149.2,27.1,6.21
C086,2015,68.2,-3.6,14.9,13.3,27.2,3.6,4.62
C087,2022,89.5,3.2,2.0,5.8,98.0,6.0,12.0
C088,2022,157.5,-3.8,14.4,29.7,165.4,9.0,9.16
C089,2015,63.5,-0.7,4.5,5.7,29.7,12.0,5.64
C090,2019,50.2,-9.3,6.7,5.6,13.1,2.8,4.39
C091,2020,132.2,2.6,5.1,12.7,105.1,26.7,7.11
C092,2015,143.0,1.3,12.6,24.5,139.9,5.3,6.32
C093,2020,100.7,9.7,6.3,10.8,87.5,18.8,7.0
C094,2019,58.4,13.3,5.3,5.7,57.8,14.0,9.12
C095,2017,36.0,-2.3,9.7,5.1,33.6,6.0,8.0
C096,2021,339.7,0.7,8.3,43.6,104.3,78.1,4.32
C097,2017,89.2,-1.4,13.4,16.0,14.4,7.4,4.11
C098,2017,78.0,4.5,17.6,17.2,75.9,11.6,4.87
C099,2022,162.4,3.0,15.4,32.3,31.0,14.4,7.01
C100,2016,106.4,-0.5,16.2,22.0,73.6,5.7,3.95
C101,2021,63.2,4.0,5.5,6.4,43.4,9.7,6.42
C102,2022,33.0,7.3,7.9,4.1,35.6,5.7,11.5
C103,2015,41.8,-2.4,2.0,2.7,8.6,8.2,3.87
C104,2018,72.2,-1.2,2.8,5.3,27.4,4.7,8.0
C105,2019,74.4,2.8,2.7,5.3,79.7,7.2,12.0
C106,2016,266.4,10.2,8.2,33.7,54.3,8.2,5.89
C107,2019,159.7,-2.4,6.0,16.8,48.6,31.0,5.53
C108,2015,21.7,1.8,16.1,4.5,5.6,5.9,4.5
C109,2015,66.2,2.4,7.2,7.8,61.4,14.9,7.11
C110,2016,107.9,-2.3,14.3,20.3,27.2,5.3,3.91
C111,2021,124.0,5.5,10.4,18.5,24.5,12.9,3.92
C112,2015,97.4,-1.1,3.2,7.5,21.2,19.3,6.01
C113,2018,115.8,1.6,15.8,23.5,91.1,29.8,6.82
C114,2022,16.4,12.0,25.2,4.8,16.3,1.2,7.66
C115,2016,113.4,6.5,13.5,20.4,72.8,18.7,5.52
C116,2015,205.3,10.9,27.8,66.4,222.8,29.3,4.63
C117,2022,75.9,-2.1,6.7,8.5,55.9,8.4,8.68
C118,2019,191.9,9.7,15.4,38.1,102.4,11.6,4.67
C119,2018,180.5,10.4,25.8,54.8,85.3,14.6,4.94
C120,2020,126.9,1.8,10.0,18.4,85.2,26.8,4.92
C121,2020,103.8,5.1,12.5,17.7,31.5,8.2,5.64
