sector,fy,market_growth_pct,fragmentation_index
Software & SaaS,2015,7.8,0.34
Software & SaaS,2016,7.9,0.4
Software & SaaS,2017,7.8,0.25
Software & SaaS,2018,8.4,0.33
Software & SaaS,2019,7.7,0.36
Software & SaaS,2020,5.3,0.43
Software & SaaS,2021,10.8,0.36
Software & SaaS,2022,7.1,0.28
Software & SaaS,2025,8.3,0.44
Healthcare Services,2015,5.0,0.61
Healthcare Services,2016,5.6,0.52
Healthcare Services,2017,4.6,0.65
Healthcare Services,2018,6.0,0.6
Healthcare Services,2019,5.5,0.64
Healthcare Services,2020,2.9,0.54
Healthcare Services,2021,7.7,0.51
Healthcare Services,2022,1.9,0.58
Healthcare Services,2025,3.9,0.68
Business Services,2015,4.3,0.57
Business Services,2016,4.5,0.59
Business Services,2017,3.4,0.64
Business Services,2018,3.6,0.72
Business Services,2019,4.3,0.68
Business Services,2020,1.3,0.69
Business Services,2021,4.7,0.61
Business Services,2022,2.9,0.69
Business Services,2025,3.2,0.82
Consumer Products,2015,1.5,0.47
Consumer Products,2016,3.4,0.65
Consumer Products,2017,3.1,0.61
Consumer Products,2018,4.2,0.54
Consumer Products,2019,0.8,0.51
Consumer Products,2020,0.6,0.45
Consumer Products,2021,4.5,0.57
Consumer Products,2022,2.1,0.6
Consumer Products,2025,3.2,0.71
Industrial Equipment,2015,2.7,0.41
Industrial Equipment,2016,1.3,0.39
Industrial Equipment,2017,3.1,0.41
Industrial Equipment,2018,1.9,0.5
Industrial Equipment,2019,1.1,0.43
Industrial Equipment,2020,-3.2,0.37
Industrial Equipment,2021,3.3,0.48
Industrial Equipment,2022,3.4,0.45
Industrial Equipment,2025,2.3,0.46
Specialty Retail,2015,2.8,0.56
Specialty Retail,2016,1.8,0.43
Specialty Retail,2017,2.6,0.53
Specialty Retail,2018,3.0,0.5
Specialty Retail,2019,3.8,0.47
Specialty Retail,2020,0.4,0.51
Specialty Retail,2021,2.9,0.42
Specialty Retail,2022,1.3,0.6
Specialty Retail,2025,2.5,0.55
