line_id,bank_date,value_date,description,debit,credit,deposit_id,transaction_type,matched_receipt_ids,reconciled,notes
BNK-00066,2026-01-04,2026-01-04,Wire Transfer Fee,15,0.0,,Wire Fee,,No,Wire fee – needs GL entry
BNK-00065,2026-01-05,2026-01-05,Wire Transfer Fee,15,0.0,,Wire Fee,,No,Wire fee – needs GL entry
BNK-00062,2026-01-07,2026-01-07,Wire Transfer Fee,25,0.0,,Wire Fee,,No,Wire fee – needs GL entry
BNK-00063,2026-01-07,2026-01-07,Wire Transfer Fee,25,0.0,,Wire Fee,,No,Wire fee – needs GL entry
BNK-00068,2026-01-20,2026-01-20,Wire Transfer Fee,15,0.0,,Wire Fee,,No,Wire fee – needs GL entry
BNK-00067,2026-01-22,2026-01-22,Wire Transfer Fee,50,0.0,,Wire Fee,,No,Wire fee – needs GL entry
BNK-00069,2026-01-25,2026-01-25,Wire Transfer Fee,15,0.0,,Wire Fee,,No,Wire fee – needs GL entry
BNK-00064,2026-01-27,2026-01-27,Wire Transfer Fee,35,0.0,,Wire Fee,,No,Wire fee – needs GL entry
BNK-00070,2026-01-28,2026-01-28,Wire Transfer Fee,50,0.0,,Wire Fee,,No,Wire fee – needs GL entry
BNK-00061,2026-01-31,2026-01-31,Monthly Service Charge,450.0,0.0,,Bank Fee,,No,Bank service fee – needs GL entry
BNK-00013,2026-02-02,2026-02-02,Deposit DEP-0013 – 2 item(s),0.0,496048.39,DEP-0013,Deposit,RCP-00013|RCP-00025,Yes,
BNK-00078,2026-02-02,2026-02-02,Wire Transfer Fee,50,0.0,,Wire Fee,,No,Wire fee – needs GL entry
BNK-00045,2026-02-05,2026-02-05,Deposit DEP-0045 – 1 item(s),0.0,173963.39,DEP-0045,Deposit,RCP-00093,Yes,
BNK-00046,2026-02-06,2026-02-06,Deposit DEP-0046 – 1 item(s),0.0,93297.57,DEP-0046,Deposit,RCP-00097,Yes,
BNK-00037,2026-02-07,2026-02-07,Deposit DEP-0037 – 1 item(s),0.0,173434.69,DEP-0037,Deposit,RCP-00061,Yes,
BNK-00002,2026-02-08,2026-02-08,Deposit DEP-0002 – 2 item(s),0.0,348838.25,DEP-0002,Deposit,RCP-00002|RCP-00027,Yes,
