memo_id,customer_id,memo_date,period,amount,reason,original_invoice_id,applied_to_invoice_id,gl_entry_id,status,notes
CM-0001,CUST-012,2026-03-05,2026-02,3788.63,Contract Rebate,INV-00160,,GL-CM-0001,Unapplied,SCENARIO: Credit memo issued; not applied to open invoice
CM-0002,CUST-037,2026-02-07,2026-01,131.87,Product Return,INV-00091,INV-00091,GL-CM-0002,Applied,
CM-0003,CUST-009,2026-02-09,2026-01,2677.84,Contract Rebate,INV-00026,INV-00026,GL-CM-0003,Applied,
CM-0004,CUST-002,2026-03-11,2026-02,43982.67,Product Return,INV-00125,INV-00125,GL-CM-0004,Applied,
CM-0005,CUST-010,2026-03-26,2026-03,2028.55,Product Return,INV-00270,INV-00270,GL-CM-0005,Applied,
CM-0006,CUST-003,2026-01-28,2026-01,73714.89,Damaged Goods,INV-00012,INV-00012,GL-CM-0006,Applied,
CM-0007,CUST-020,2026-02-17,2026-02,2615.22,Quantity Dispute,INV-00172,INV-00172,GL-CM-0007,Applied,
CM-0008,CUST-029,2026-03-15,2026-02,13754.07,Contract Rebate,INV-00193,,GL-CM-0008,Unapplied,SCENARIO: Credit memo issued; not applied to open invoice
CM-0009,CUST-022,2026-02-14,2026-02,29159.94,Damaged Goods,INV-00176,INV-00176,GL-CM-0009,Applied,
CM-0010,CUST-036,2026-04-18,2026-03,4292.65,Contract Rebate,INV-00315,INV-00315,GL-CM-0010,Applied,
CM-0011,CUST-060,2026-03-15,2026-02,652.73,Product Return,INV-00235,INV-00235,GL-CM-0011,Applied,
CM-0012,CUST-048,2026-02-20,2026-02,10295.9,Early Pay Discount,INV-00219,INV-00219,GL-CM-0012,Applied,
CM-0013,CUST-013,2026-01-30,2026-01,13040.35,Quantity Dispute,INV-00046,INV-00046,GL-CM-0013,Applied,
CM-0014,CUST-011,2026-01-22,2026-01,981.56,Product Return,INV-00037,,GL-CM-0014,Unapplied,SCENARIO: Credit memo issued; not applied to open invoice
CM-0015,CUST-011,2026-03-07,2026-02,25079.01,Damaged Goods,INV-00152,INV-00152,GL-CM-0015,Applied,
CM-0016,CUST-017,2026-01-29,2026-01,5469.45,Early Pay Discount,INV-00054,INV-00054,GL-CM-0016,Applied,
CM-0017,CUST-014,2026-02-04,2026-01,28102.39,Pricing Adjustment,INV-00051,INV-00051,GL-CM-0017,Applied,
CM-0018,CUST-023,2026-02-15,2026-01,66576.4,Quantity Dispute,INV-00065,INV-00065,GL-CM-0018,Applied,
CM-0019,CUST-021,2026-01-27,2026-01,9612.84,Damaged Goods,INV-00059,INV-00059,GL-CM-0019,Applied,
CM-0020,CUST-012,2026-02-23,2026-01,4919.34,Early Pay Discount,INV-00039,INV-00039,GL-CM-0020,Applied,
CM-0021,CUST-005,2026-02-09,2026-01,33869.07,Pricing Adjustment,INV-00015,INV-00015,GL-CM-0021,Applied,
CM-0022,CUST-008,2026-02-23,2026-02,73606.8,Early Pay Discount,INV-00144,INV-00144,GL-CM-0022,Applied,
CM-0023,CUST-052,2026-03-30,2026-03,7133.2,Damaged Goods,INV-00334,INV-00334,GL-CM-0023,Applied,
CM-0024,CUST-001,2026-04-12,2026-03,3853.24,Pricing Adjustment,INV-00238,INV-00238,GL-CM-0024,Applied,
CM-0025,CUST-009,2026-03-22,2026-02,564.27,Contract Rebate,INV-00148,INV-00148,GL-CM-0025,Applied,
CM-0026,CUST-022,2026-02-12,2026-01,19700.1,Contract Rebate,INV-00061,INV-00061,GL-CM-0026,Applied,
CM-0027,CUST-048,2026-02-26,2026-02,3024.97,Pricing Adjustment,INV-00221,INV-00221,GL-CM-0027,Applied,
CM-0028,CUST-016,2026-04-03,2026-03,2188.38,Product Return,INV-00285,INV-00285,GL-CM-0028,Applied,
CM-0029,CUST-039,2026-02-24,2026-02,9517.39,Product Return,INV-00206,INV-00206,GL-CM-0029,Applied,
CM-0030,CUST-027,2026-02-09,2026-01,1008.79,Pricing Adjustment,INV-00078,INV-00078,GL-CM-0030,Applied,
CM-0031,CUST-042,2026-01-25,2026-01,5889.71,Contract Rebate,INV-00097,INV-00097,GL-CM-0031,Applied,
CM-0032,CUST-008,2026-02-05,2026-01,45542.79,Early Pay Discount,INV-00023,INV-00023,GL-CM-0032,Applied,
CM-0033,CUST-010,2026-02-15,2026-01,22410.36,Quantity Dispute,INV-00028,INV-00028,GL-CM-0033,Applied,
CM-0034,CUST-059,2026-01-14,2026-01,1260.18,Quantity Dispute,INV-00120,INV-00120,GL-CM-0034,Applied,
CM-0035,CUST-026,2026-03-02,2026-02,4054.51,Damaged Goods,INV-00187,INV-00187,GL-CM-0035,Applied,
CM-0036,CUST-050,2026-04-11,2026-03,17358.02,Early Pay Discount,INV-00332,INV-00332,GL-CM-0036,Applied,
CM-0037,CUST-025,2026-02-19,2026-02,4436.95,Damaged Goods,INV-00186,INV-00186,GL-CM-0037,Applied,
CM-0038,CUST-044,2026-01-29,2026-01,10866.96,Pricing Adjustment,INV-00099,INV-00099,GL-CM-0038,Applied,
CM-0039,CUST-032,2026-02-25,2026-01,6369.55,Pricing Adjustment,INV-00083,INV-00083,GL-CM-0039,Applied,
CM-0040,CUST-022,2026-03-11,2026-02,15961.63,Pricing Adjustment,INV-00178,INV-00178,GL-CM-0040,Applied,
