receipt_id,customer_id,receipt_date,amount,payment_method,reference,check_number,invoice_id_applied,amount_applied,bank_deposit_id,status,notes
RCP-00001,CUST-001,2026-02-13,307110.74,ACH,REF-7642917,,INV-00001,307110.74,DEP-0001,Applied,
RCP-00002,CUST-001,2026-02-08,308701.53,ACH,REF-1759836,,INV-00002,308701.53,DEP-0002,Applied,
RCP-00003,CUST-001,2026-03-11,75750.66,ACH,REF-2157949,CHK-71875,INV-00003,75750.66,DEP-0003,Applied,
RCP-00004,CUST-002,2026-03-05,14166.12,Wire,REF-3272119,CHK-94656,INV-00004,14166.12,DEP-0004,Applied,
RCP-00005,CUST-002,2026-03-31,419398.72,Wire,REF-7282411,,INV-00006,419398.72,DEP-0005,Applied,"SCENARIO: Timing diff – receipt posted 3/31, bank deposit 4/1"
RCP-00006,CUST-002,2026-03-26,143956.99,EFT,REF-2346371,CHK-96742,INV-00008,143956.99,DEP-0006,Applied,
RCP-00007,CUST-002,2026-02-26,5833.32,Check,REF-2990334,,INV-00009,5833.32,DEP-0007,Applied,
RCP-00008,CUST-003,2026-03-08,389542.45,Wire,REF-4736121,CHK-12979,INV-00010,389542.45,DEP-0008,Applied,
RCP-00009,CUST-003,2026-02-22,355854.22,EFT,REF-9924365,,INV-00012,355854.22,DEP-0009,Applied,
RCP-00010,CUST-004,2026-03-22,1028845.06,Check,REF-3602504,,INV-00013,1028845.06,DEP-0010,Applied,
RCP-00011,CUST-005,2026-02-23,499121.43,ACH,REF-8033690,CHK-12050,INV-00015,499121.43,DEP-0011,Applied,
RCP-00012,CUST-006,2026-02-14,382314.95,ACH,REF-1563316,,INV-00017,382314.95,DEP-0012,Applied,
RCP-00013,CUST-006,2026-02-02,92272.74,Wire,REF-1742169,,INV-00018,92272.74,DEP-0013,Applied,
RCP-00014,CUST-007,2026-03-05,323123.5,ACH,REF-3351084,,INV-00019,323123.5,DEP-0004,Applied,
RCP-00015,CUST-007,2026-04-01,85707.72,Check,REF-6379867,,INV-00020,85707.72,DEP-0014,Applied,
RCP-00016,CUST-007,2026-03-27,78315.8,Wire,REF-7938388,,INV-00021,78315.8,DEP-0015,Applied,
RCP-00017,CUST-008,2026-03-18,3551.98,Wire,REF-8167236,,INV-00022,3551.98,DEP-0016,Applied,
RCP-00018,CUST-008,2026-03-10,351984.97,EFT,REF-9799030,,INV-00023,351984.97,DEP-0017,Applied,
RCP-00019,CUST-009,2026-02-28,81597.51,Check,REF-7315953,,INV-00024,81597.51,DEP-0018,Applied,
