entry_id,entry_date,period,account_code,account_name,entry_type,debit,credit,description,source_doc,customer_id,posted_by,notes
GL-000001,2026-01-05,2026-01,1200,Accounts Receivable,Invoice,307110.74,0,Invoice INV-00001 – CUST-001,INV-00001,CUST-001,kchan,
GL-000002,2026-01-05,2026-01,4000,Revenue – Product Sales,Invoice,0,307110.74,Revenue recognition INV-00001,INV-00001,CUST-001,mlopez,
GL-000003,2026-01-03,2026-01,1200,Accounts Receivable,Invoice,308701.53,0,Invoice INV-00002 – CUST-001,INV-00002,CUST-001,arogers,
GL-000004,2026-01-03,2026-01,4000,Revenue – Product Sales,Invoice,0,308701.53,Revenue recognition INV-00002,INV-00002,CUST-001,tbrown,
GL-000005,2026-01-23,2026-01,1200,Accounts Receivable,Invoice,75750.66,0,Invoice INV-00003 – CUST-001,INV-00003,CUST-001,jsmith,
GL-000006,2026-01-23,2026-01,4000,Revenue – Product Sales,Invoice,0,75750.66,Revenue recognition INV-00003,INV-00003,CUST-001,jsmith,
GL-000007,2026-01-06,2026-01,1200,Accounts Receivable,Invoice,14166.12,0,Invoice INV-00004 – CUST-002,INV-00004,CUST-002,arogers,
GL-000008,2026-01-06,2026-01,4000,Revenue – Product Sales,Invoice,0,14166.12,Revenue recognition INV-00004,INV-00004,CUST-002,kchan,
GL-000009,2026-01-11,2026-01,1200,Accounts Receivable,Invoice,302143.23,0,Invoice INV-00005 – CUST-002,INV-00005,CUST-002,kchan,
GL-000010,2026-01-11,2026-01,4000,Revenue – Product Sales,Invoice,0,302143.23,Revenue recognition INV-00005,INV-00005,CUST-002,tbrown,
GL-000011,2026-01-20,2026-01,1200,Accounts Receivable,Invoice,419398.72,0,Invoice INV-00006 – CUST-002,INV-00006,CUST-002,jsmith,
GL-000012,2026-01-20,2026-01,4000,Revenue – Product Sales,Invoice,0,419398.72,Revenue recognition INV-00006,INV-00006,CUST-002,kchan,
GL-000013,2026-01-30,2026-01,1200,Accounts Receivable,Invoice,199743.8,0,Invoice INV-00007 – CUST-002,INV-00007,CUST-002,mlopez,
GL-000014,2026-01-30,2026-01,4000,Revenue – Product Sales,Invoice,0,199743.8,Revenue recognition INV-00007,INV-00007,CUST-002,tbrown,
GL-000015,2026-01-28,2026-01,1200,Accounts Receivable,Invoice,143956.99,0,Invoice INV-00008 – CUST-002,INV-00008,CUST-002,mlopez,
GL-000016,2026-01-28,2026-01,4000,Revenue – Product Sales,Invoice,0,143956.99,Revenue recognition INV-00008,INV-00008,CUST-002,mlopez,
GL-000017,2026-01-08,2026-01,1200,Accounts Receivable,Invoice,5833.32,0,Invoice INV-00009 – CUST-002,INV-00009,CUST-002,arogers,
GL-000018,2026-01-08,2026-01,4000,Revenue – Product Sales,Invoice,0,5833.32,Revenue recognition INV-00009,INV-00009,CUST-002,arogers,
GL-000019,2026-01-21,2026-01,1200,Accounts Receivable,Invoice,389542.45,0,Invoice INV-00010 – CUST-003,INV-00010,CUST-003,mlopez,
GL-000020,2026-01-21,2026-01,4000,Revenue – Product Sales,Invoice,0,389542.45,Revenue recognition INV-00010,INV-00010,CUST-003,arogers,
